x_pos,y_pos,z_pos
77.876,-5.488,0.0
4.883,-1.318,98.988
6.822,-2.055,98.658
7.046,-2.543,97.101
15.265,-2.983,95.871
15.981,-3.154,94.04
29.009,-3.226,92.514
35.912,-3.033,91.439
43.001,-3.196,90.52
43.65,-2.987,90.01
56.281,-3.008,89.436
62.499,-2.856,89.183
68.284,-2.5,89.57
73.27,-2.068,89.842
73.693,-1.531,89.759
83.226,-0.934,89.795
88.601,-0.545,89.766
94.316,-0.222,89.632
100.231,-0.029,89.726
105.979,0.129,90.089
108.2,0.141,90.43
108.562,-0.043,90.416
105.37,-0.251,90.428
99.607,-0.43,90.438
93.701,-1.202,90.47
88.9,-3.911,90.198
84.907,-9.521,90.27
83.919,-16.071,89.742
83.438,-23.235,89.458
83.524,-30.29,89.463
83.836,-38.301,89.495
84.187,-46.073,89.585
84.9,-53.193,89.802
85.692,-60.727,90.115
86.597,-67.881,90.367
87.473,-74.638,90.734
88.139,-81.111,91.019
88.434,-87.085,91.056
88.624,-92.883,91.057
88.588,-98.677,90.946
88.376,-104.411,90.969
88.12,-108.916,91.212
87.231,-110.503,91.416
84.685,-111.61,91.661
81.542,-111.807,91.609
76.931,-111.891,91.651
76.46,-111.892,91.651
65.166,-111.434,91.62
59.394,-110.948,91.278
54.13,-110.567,91.155
48.872,-110.088,91.096
43.993,-109.696,91.494
38.736,-109.547,91.626
33.406,-109.645,91.724
28.969,-109.927,91.665
24.577,-110.382,91.734
19.371,-110.99,91.493
15.936,-111.651,91.281
15.719,-112.57,91.597
8.61,-113.206,91.405
3.781,-113.703,91.403
1.125,-114.028,91.365
-2.82,-114.514,91.314
-7.723,-114.822,91.245
-9.439,-115.176,91.041
-9.867,-114.554,90.611
-9.45,-112.524,90.227
-8.516,-109.944,90.128
-7.278,-104.232,90.194
-7.158,-98.573,90.334
-5.454,-93.503,90.419
-5.422,-89.972,90.438
-5.141,-89.216,90.314
-5.143,-89.216,90.314
-5.151,-97.711,89.918
-5.211,-103.667,90.161
-4.882,-110.489,90.307
-2.619,-115.442,90.553
2.898,-118.177,90.341
8.91,-118.927,90.324
13.866,-119.164,90.62
16.822,-119.063,90.85
16.254,-118.026,90.874
12.953,-117.699,90.278
7.352,-117.452,90.095
1.174,-117.35,90.081
-5.218,-117.558,90.302
-5.832,-117.948,90.556
-13.53,-118.827,90.567
-14.276,-119.843,90.236
-14.335,-118.318,90.15
-13.844,-115.728,90.207
-13.454,-110.65,90.472
-13.049,-104.711,90.795
-12.973,-98.7,90.722
-12.804,-92.582,90.409
-12.81,-86.654,90.399
-12.939,-80.72,90.532
-13.357,-74.662,90.568
-13.621,-68.67,90.47
-13.765,-62.649,90.536
-13.776,-56.421,90.908
-14.025,-50.606,90.771
-14.073,-44.846,90.585
-14.083,-39.173,90.591
-13.875,-34.04,90.438
-13.827,-28.37,90.38
-13.593,-22.68,90.575
-13.176,-17.024,90.524
-12.742,-11.667,90.322
-12.303,-6.556,90.18
-11.794,-1.389,89.974
-11.339,3.461,89.926
-11.083,7.06,89.967
-10.726,8.792,90.08
-10.147,7.783,90.044
-10.025,3.352,90.248
-10.037,-2.935,89.974
